Description - Program titles - any/all other information written out on tape label, N
Comedy ABC/5 Wonder Years | Home Imp | American Comedy Awards | 3-5-93 CBS/10 Golden Palace | Major Dad | Des Women | Bob | PBS/12 Mark Russel | C[sic] Rose, 1
Comedy ; 12-28-92 Fresh Prince | Blossom | 12-29-92 Full House | Mr. Cooper | Roseanne | [sic] Them All | 12-30-92 Seinfeld | Mad About You | 12-31-92 Cheers | Wings, 1
Comedy ; WKRP, 1
Docu 11-22-92 PBS/Ch12 Dinosaurs | NOVA | Plot to Kill Pres Kennedy, 1
Comedy ; 1-3-93 Batman | Shaky Ground | In Liv. Color | Married | Married | Herman's Head | News | Fly The B[sic] | Ben Stiller | 1-6-93 Seinfeld, 1
Comedy 1-4-93 Fresh Prince | Blossom || 1-5-93 Full House | Mr. Cooper | Roseanne | Jackie Thomas | David Letterman || 1-6-93 Wonder Years | Doogie Howser | Home Improv. | Coach, 1
Comedy ; 2-5-93 CBS/10 Golden Palace | Major Dad | Des Women | Bob | NBC/3 Leno | Letterman | 3-22-93 CBS-10 Evening Shade | Headed Africa | Murphy Brown | Love & War, 1
Comedy ; [illegible half of label] | News | Sat Nite Live | Comedy Showcase, 1
1-8-93 Are You Being Served? | Black Adder 2-7-93, 1
Comedy ; News | Eve Shades | Headed Africa | Murphy Brown | Love & War | Northern Exposure | 1130A, 1
Comedy ; 7-6-91 Amen | Down Home | Golden Girls | Empty Nest | Dear John | Carol & Co | News | Sat Night Live || 7-10-91 Wonder Years ; Brothers, 1
Comedy ; 3-11-91 Eve Shade | Major Dad | People's America | Ch[sic] | News | USA Tonight | Comedy 3-13-91 Night Court | D[sic] J[sic] | Quantum Leap, 1
Comedy ; Fresh Prince | Blossom | Who's The Boss | Dave's Rules | Roseanne | Coach | Thirty Something | ABC/6 11PM News | CBS/10 Other T[sic], 1
Comedy ; 9-1-91 Fox Roc [illegible] | Comedy [illegible] | Comedy [illegible] 9-5-91, 1
Comedy ; Sat Nite Bro[sic] 8-6-91 | 8-7-91 Seinfeld | Simpsons Ma[sic] Retreat 8-8-91 | Comedy Tonight 8-8-91 | Sat Nite Part I 8-8-91, 1
Comedy ; 5-23-91 Simpsons | Babes | 6-7-91 Perfect Strangers | Going Places | Sat Nite | All In The Family | Brothers || 6-9 All In The Family | 6-10-91 Major Dad | Family Man | Murphy Brown | Des. Women, 1
Comedy ; 6-23-91 In Living Color | Get A Life | Married | Top of Heap | Sunday Comics | 6-27 Simpsons | True Colors, 1
Comedy ; NBC/3 12-22-90 Sat Amen | Golden Girls | Empty Nest | Carol & Co. | American Dreamer | NPM[sic] | Saturday Night Live | 12-23 Funniest Home Videos | Funniest People, 1
Comedy 6-12-91 Funniest Videos | Wonder Years | Growing Pains | Funn. | 6-13-91 Simpsons | Babes | Cheers | Steve Felt | 6-14-91 Family Matters | Perf Strangers | Going Places | 20-20, 1
Comedy ; Saturday Night Live 6-1-91 | Night [illegible] | 6-12-91 [illegible] | Best of Sat Night | All In The Family | Brothers | 6-13-91 Best of Sat Night | All In The Fam | Brothers, 1
Comedy ; 3-9-91 NBC 3 Amen | Down Home | Golden Girls | Empty Nest | Carol & Company | News | Saturday Night Live || Babes 3-21, 1
Comedy ; 12/17/90 CBS/10 Evening Shade | Major Dad | Murphy Brown | Des Women || Comedy 12/18/90 ABC/6 Who's The Boss | Head of the Class | Ruseanne | Coach | 30 Something || 12-19-90 WFUU [?], 1
Comedy ; [illegible] 9-7 | Brothers 9-7-91 | 9-8-91 Panka Song / Roc Married | Comedy 9-8-91, 1
Comedy ; Belles of Bleeks[sic] | Going Places | 7-6-91 Fresh Prince | Sunday In Paris | Best of Sat Nite | All In Fam, 1
Comedy ; Sat Nite Best ; British Group Therapy | Punching Tom Hanks Stay Friends, 1
Comedy ; Brothers Bus.-, 1
Comedy ; Fox/29 1-13-91 True Colors | Parker Lewis | In Living Color | Get A Life | Married | Good Grief || 1-19-96 NBC Set Nite [illegible] | Just Lucky | C[sic] Gra[sic], 1
Comedy ; Sat Nite Live Jeremy Irons | WC Fields 8-10-91, 1
Comedy ; Best Sat Nite | Brothers | Al. Hitchcock 8-24-91 || Emmy Awards 8-25-91, 1
Comedy - Br. Are You Being Servied? German Dr[sic], 1
Comedy (Brit) Are You Being Served? ; A.U Sick 5-23-91 | Maude 5-31 Honeymooners ||, 1
Comedy ; Funniest Videos 8-25-91 | Brothers USSR Defeated 8-29-91, 1
Comedy ; Sat Nite Part II 8-8-01 ; Brothers | Hidden Video | Babes Jury 8-10-91, 1
Comedy ; Living Color, 1
Comedy ; Into Night 7-31-91 ; Perfect Strangers | 8-2-91 Hi Honey I'm Home, 1
Comedy ; Star Trek | [sic] Home, 1
Comedy ; Fresh Prince | Fresh Prince | The Dreamer of OZ | News | T[sic] | Nite Line, 1
Comedy ; Murphy, 1
Comedy 8-31-91 ; [illegible] Thomas 9-1-91 || RocPt2, 1
Comp ; Microsoft Appeal Day 2, 1
(Sat/Sun) Over Nite ; Civil Rights Com - FLA Hearing, 1
Civil Rights Comm. - FLA Hearings, 1
Power Brunch ; Apple ; Steve Ann Jobs ; New iMACS ; Silicon Valley, 1
Over Nite ; Microsoft Appeal (Bush), 1
Apple Ann. New iMACS / Fed, 1
Comedy ; Thanksgiving, 1
Telecourses ; Cycle of Life ; Beliefs ; Apple Ann. Bloomberg || Baby Grow 1st yr [illegible], 1
Comp ; Clinton Pardon Hearing, 1
Comp ; NSDQ 3,000, 1
(Sat) 9-10 Websites E-Com ; Civil Rights Comm. - FLA Hearings, 1
Over Nite ; Rights Comm - FLA Hearings, 1
Overnite ; Civil Rights Comm. - FLA Hearings, 1
Comp ; On Gates - Scholarships for Minorities ; Pwer Launch ; Larry Ellison #31 ; Steve Jobs, 1
Comp ; 810PM 10-4-99 || C-SPAN 10-5-99, 1
Comp 11PM Credit 3-2-01 | 3-3-01 CSPAN 7AM, 1
Comp ; Apple Ann. Fed Ann, 1
Ken Starr on Microsoft Appeal, 1
Stream Date Set Msft [sic] *Thanksgiving, 1
Telecourses  Western Trad. 2AM 10-1-99 Culture ; [sic] AM || 10-2-99 1:30 AM | Suss Psych ; Health ; Writing, 1
*Music Childr. World Report, 1
Brit Coms / Thanksgiving ; Family T[sic] | Treasures Taj Mahal | Goodbye Mr. Chips | Music 130PM, 1
Comp ; Sci Tech Wk ; Time & Again ; Toy Story Pixar (Sat), 1
Over Nite ; Ken Starr on MSFT, 1
Comedy ; Ben Stein || W. Tradit. Rec. + SU Tra[sic] | MSFT Sued ; Thanksgiving, 1
Comp ; Civil Rights Com. FLA Hearing (SAT), 1
(Sun) Boles on Microsoft Trial, 1
Comp ; Civil Rights Com. FLA HEaring (SAT), 1
Telecourses ; Universe 2hrs || N[illegible] W Trad, 1
Comp ; Hi-jack India ; Clinton Pres : C-SPAN Clinton, 1
Yahoo up [two arrows] ; Harvard V[sic]Tura [Ventura?], 1
Comp ; US Eur SA Progressive Sovern 2000 ; Hi-Tech in the Future, 1
1:05PM |, 1
Comp ; (Sat) (Sun) ; 2-24-01 1145PM Sat Nite Live || 2-25-01 C-SPAN 7AM on Microsoft 10AM, 1
Comp ; MSFT/Microsoft in Apellate Ct., 1
(Sun) Civil Rights Comm - FLA Hearings, 1
Comp ; Watch It ; Yahoo! Up [two arrows] Harv. Ventura, 1
Telecourses 11-24-99 2AM || 7:22 || 11-28-99 PBS-12 5:30 PM 3 temors [sic] XMAS (Wed), 1
Ken Starr on Microsoft, 1
Comp ; 1245 Am 7-25-00 | Star Trek 2-19-01, 1
Microsoft Appeal Day 2 / BUSH, 1
Comp ; Microsoft Appeal 7AM, 1
Comp ; Microsoft Appeal CJ - [illegible], 1
Comp ; Yahoo up [two arrows] Ventura at Harvard, 1
Comp ; Bloomberg News ; Yahoo up / Mus Clinton [illegible], 1
(Sun) Civil Rights Comm - FLA. Hearings, 1
Bush Congress Address || 11PM ; MSFT Appeal / Bush, 1
June July? 2000, 1
Comp-B ?, 1
Comp-B Dow Down NSD Down Macworld Expo (Mac) 6PM, 1
Comp-B Daily Show CNNfN, 1
Sunday CBS-3 Sunday Morning (Son) Mon, 1
Peace Talk Camp David / London Hot Spot (Sat), 1
Execution / MSFT Ann 11PM, 1
Comp-B (MR), 1
Comp-B Digital Jam (Sat) || CNN, 1
Comp-B Nature Human + Animals Faces (Sat), 1
Comp-B Debate Renct. Daily Show, 1
Comp-B Debate Reaction Imus In Eve Hardball, 1
Comp B Top, 1
1st Pres. Debate - Boston (Bottom), 1
Mideast Crisis ; Ship Expo 8PM, 1
Comp-B Mid-East Crisis ; Warship - Suicide Attack, 1
Comp-B Ch[sic] Digital Jam ; Daily Show, 1
Comp-B (Holiday), 1
Comp-B Venus Wins Wimbledon (Sat), 1
Comp-B AM? PM?, 1
Comp-B Investig Report Out (Sat), 1
CNNfN 11PM Exg[sic]ta/Gates 6-22 World News 6-23, 1
Comp-B 10-8 CNN 7PM || 10-10 Debate 8PM, 1
Comp-B Jesse Jackson || Search for Inter Life Chariots of the Gods (Sun), 1
Comp-B Debate Reaction, 1
Building Big 10-3 | 10-20, 1
Comp-B Hardball, 1
Comp || 4PM, 1
Comp-B Belgrade Opposit. Storms Parliam., 1
2008 Prim MLK Assin (40th), 1
2008 Primary Hillary Wins PA 6PM, 1
2008 Prim To Indiana, 1
2008 Prim Hanni[sic] AM Rev Wright (Sun), 1
2008 Prim Russert Spec. | IA/NC, 1
2008 Prim Abrams, 1
2008 Prim O'Reilly 7AM, 1
2008 Prim IA/NC, 1
2008 Prim To Indiana / NC ; Gas Tax Hol?, 1
2008 Hillary Obama (Sun) 3AM, 1
2008 Prim (Tues) 6:40 PM, 1
2008 Prim Joe 10:15 AM, 1
2008 Primary IA - NC, 1
2008 Prim (O'Reilly Hillary), 1
Rev Wright/NAACP 7AM, 1
Dynasty II - Colby's 12-18 | Colby's 12-19 | Dynasty 12-25 BIII, 1
General Hospital / Comedy General Hospital 12-20 | Too Close for Comfort 12-23 | All In The Family 12-23 | 12-24 All In The Family | Who's The Boss | Growing Pains, 1
General Hospital 11-29 | Dynasty 11-29 | Wonderworks 12-2 | Wonderworks 12-23, 1
Wonderworks - Konrad Pt 1 10-7 | 10-15 Pt. 2, 1
General Hospital | Dynasty [both dates], 1
General Hospital (10-22 T120) Dynasty 10-21 | General Hospital 10-23 | General Hospital 10-24, 1
General Hospital 12-27 | Dynasty 12-27 | General Hospital 12-30 | Dynasty - Wedding 12-30, 1
Documentaries - The Sea - Future Farming | Firing Line | Adam Smith Joan Sculley Apple - Lotus, 1
Documentaries Adam Smith [illegible] | [illegible] | 10PM News, 1
Documentaries Reagan Operation 7-13 | The Commanders Mac Arthur 9-14, 1
Documentaries National Geographic Special 1:30 | Firing Line Low-[sic] & Adam Smith 8-11 | Music TV 8-11 | McNeil-L Shulz S. Afr. 8-14, 1
Heart of the Dragon 6-23 | 6-30 | 7-1 | See Doct P+2 7-14 Part I, 1
River Journey | I | Mekong, 1
1985 Tough Love Pt 2 | Three Sovereigns for Sarah 5-27 1 of 3 | 5-28 2 of 3 | 5-29 3 of 3 | Nite Gall[sic] 6-19 | Tough Love Pt 2 10-13, 1
War - A Commentary Same, All 11-12 10m | 11-14 | War: The Knife Edge of Deterance 11-14 | 10PM News, 1
Tough Love Pt I, 1
Reilley Anna, 1
General Hospital [each date] (9-2 Pre-empted), 1
Woman In White Pt I 5-2 | Pt II 5-12 | Pt III 5-19, 1
Reilly - Ace of Spies 6-9 1:30 | 6-16 1:00 | 6-23 1:00, 1
Dynasty II - The Colbys 11-13 2 | 11-27 | Dynasty 5, 1
General Hospital | High School Narc, 1
General Hospital - General Hospital 10-8 | Dynasty 10-8 | General Hospital 10-9, 1
General Hospital - 11-22 General Hospital | Dynasty | 11-25 General Hospital | Dynasty, 1
General Hospital - General Hospital 10-15 | Dynasty 10-15 | General Hospital 10-17, 1
Royal March Pilot 8-2 1:00 | The Opposite Sex (movie) 8-2 2:00, 1
General Hospital - General Hospital | Dynasty, 1
General Hospital 9-30 | 10-1 | Dynasty 10-1, 1
General Hospital - Dynasty 10-4 | General Hospital 10-7 | Dynasty 10-7, 1
The Last Place On Earth V 11-17 | VI (End) 11-24 | River Journey 11-27 | Wide Wild World of Animals 12-24, 1
Faulty Towers 12-21 | [illegible] of Kari - Bertis Junior [sic] | Wonder Works 12-21 2hr, 1
Waltons 9-4 | 9-5 Reading - Verie | 9-9, 1
Waltons / Josh, 1
Masterpiece Theater - Last Place On Earth Pt 1 10-20 90m | Pt II 10-27 :60 | Pt III 10-30 | Pt IV 11-10, 1
Computer Chronicles - Comp Chron. | New Tech News[?] | Innovation | Comp Chron Mac-Lin[sic] | NTT | Innovation - Gender | Hope Diamond, 1
Science Doc - Nature - Dogs 4-28 | Donahue - Yuppies - Imposter Syndrome 4-30 | NOVA Plastic Surg. Adv. 5-7, 1
Drama - Twilight Zone | Great Performances - The Daughter of Dr. F[sic], 1
This Old House (Victorian 1 10-12 | 2 10-19 | 3 10-26 | 4 10-31 | 11-14 | 11-23 | Presece 11-23, 1
Doc's | NOVA Strobe Photo, 1
General Hospital 11-15 | Dynasty | General Hsopitay 11-18 | Dynasty | Frugal Gorm African Cook 11-23, 1
Masterpiece Theater All For Love Let The Bird [sic] 4-28 | Cindy Eller A Modern Fairtytale 10-9, 1
Twilight Zone 10-25 | Test / Charity 11-1, 1
General Hospital - General Hospital 12-25 | Dynasty | General Hospital 12-26 | Dynasty, 1
Nite Gall 8-29 | Rituals 8-29 | 9-4 | 9-5 | News 9-11 Today [illegible] | AM Donahue Fraser Ines, 1
General Hospital - Dynasty |, 1
General Hospital | After School Speical - Mo[sic] in Strike, 1
Life & Adventure of Santa Clause | The Gift of Love - A Christmas Story, 1
The Jewel In The Crown 3-3 | 3-10 | Finale 3-17 | Salute to Jewel In The Crown, 1
Bleak House I 12-1 | IV 12-22 | V 12-29, 1
Rituals 6-26 | 6-27 | 6-28 | 7-1 | Eleanor Roosevelt - Jean Stapleton, 1
Wisconsin Supr. Ct. Decition (Tue) 8HR MSNBC/ED, 1
Innovation (Sun), 1
Wiener Exposed / Ecl 7 / Daily Show / Christie (Thu) (6hr), 1
Ecl+ (Thu), 1
Ecl. (Wed) (8hr), 1
Ecl. Wed 8hr, 1
Repub. Prim Debate CC Colbert / Kissinger (Mon) 6HR, 1
Ecl. (Sat) 6hr, 1
1-19 NOVA / Making Stuff | 6-8 1AM Fox (Wed), 1
Weiner Apol. (Tue), 1
Obama On Troop With [sic] (Wed) (6hr), 1
(Thurs) 8hr, 1
CC Daily Show (Thu) 6hr, 1
Ecl. (Thu) 6hr, 1
Pres. Budget PR Conf 3:15 (Wed) 6hr, 1
Sun 8:10 AM 6hr, 1
Pres PR Conf + ! Dems - (Thu), 1
Wiener (Thu) 6hr, 1
(Ecl 15) (Fri) 8HR, 1
Casey A Case Postp. til Mon (Sat) 6HR, 1
Comedy ABC-6 8-15 | 8-16 NBC-10 Friends | 8-20 CBS-3 [illegible] | 8-21 NBC-10 8PM, 1
Brit Com Yes Minister, 1
Comedy 8-29 PBS-6 | 8-30 NBC-10 Friends | 9-4 Frazer, 1
Brit Coms PBS-12(11) 11-29 KUA | 12-2 Black Adder Chrismast | 12-3 ANBS | 12-4 ATCB | 12-6 KUA | 12-11 AFR | 12-13 KUA, 1
For Ed Shultz : Al Sharpton Host Ed Show (Thur) (8hr), 1
Weiner Rep Ecl (Thu) 6hr, 1
6-4 2PM | Sunday 6-5 Fox/CNN Palin 2PM Fox (Sat) (Sun) 6hrs, 1
News - 8:45 PM, 1
News (Mon) Donahue - Michael Jackson Family AM - Reagan Fam SSR - Family Secret, 1
News 4P #2, 1
- 4PM, 1
News 1:15AM, 1
News 2/7-8 4:30 AM, 1
News (Tue) 11:30 PM, 1
News 2-5 (2-6) 3AM, 1
News 8:45PM, 1
News (Tues) 9PM, 1
News (Mon) 4:00 PM, 1
News 1-3 CBS/10 7AM 9 | 1-4, 1
News 4:10 PM, 1
Drama - Highway to Heaven, 1
Comedy - 6-25 Facts of Life | Big Five | Golden Girls | Amen | 6-26 Married | G[sic] N[sic] | Duet | Tracey Ullman | 7-1 TV Bloopers, 1
Comedy 8-14 Gary Shandling | Tracey Ulman | Duet | 8-21 M[sic] | Gary | Tracey | Duet | 10-2 Martin | Gary | Tracey | Duet, 1
Upstairs Downstairs - Ch 44 3-20 | Ch 2 3-27 | Ch 44 James Suicide 3-27 | Ch 2 4-3 | Ch 2 4-10 | Ch 2 4-17, 1
The Calm Mother[?] - Court Martial, 1
The Calm Mother - Court Martial, 1
Baby M Pt I 5-22 | Pt II 5-23 | Matlock 5-24 | News 5-29 CBS PM | NBC PM, 1
Comedy - Kate & Ally | [illegible] | Newhart[?] | [illegible] | [illegible] | Married | Gary Shandling | Duet | Tracey Ulman | ?, 1
Micki & Maude, 1
Drama - 8-9 Summer Playhouse - W[sic] | Circus of the Stars | 8-11, 1
Comedy 7-15 TV Bloopers & Practical Jokes | K[sic] | Golden Girls | Amen | Sheila | Tracey Ulman | Duet | Who's The Boss | Full House 8-17, 1
Comedy - Boys [illegible] | Women In Prison | Beams Baxter [?] | Mr. President, 1
Educ TV Sat Economics USA | Computer Works | New Literacy | Learn To Read, 1
Comedy 5-10 Mattlock 2HR | 5-22 That Incredible Re[sic] | 5-23 Kate & Ally | Val Fam | 6-18 100th Anniv W 57th, 1
Comedy 5-2 Kate & Allie | Des Women | Newhart | Ellen [sic] & L[sic] | 5-3 Who's The Boss | Just The 10 Of Us | 6-21 10AM News | NBR | Adventure, 1
Comedy 6-6 | 6-11 Facts of Life | 227 | Golden Girls | Amen | 6-12 Married | Gary Shandling | Duet | Tracey Ulman, 1
Comedy 11-1 Perfect Strangers | Head of the Class | 11-25 Night Court | Bev Hillbillies | 3-28 ALF | My 2 Dads | 4-5 Thirty Something | 4-6 Aaron's Way | Year In the Life, 1
Wonder Works 11-7 | Billionaire Boys' Club 1 11-8 | II 11-9, 1
Comedy - Valerie 5-11 | Bob Hope 5-26 | Joan London [illegible] Day Special 6-21 | Small Wonder 9-14 | Quiz -14 | ALF 11-9 | [illegible] 11-9, 1
Napoleon & Josephine 11-10 | 11-11 | 11-12 End, 1
Gore Vidal's Lincoln Part I 3-27 | Jackson News | Part II 3-28 | 4-9 Joe S[sic] [illegible] | 4-12 Phil, 1
Heimat 11-14 | (Final) 11-21 | CBS Report | Twilight Zone | We[sic] Pozner, 1
Comedy 2-28 Married | Tracey Ulman | Duet | 3-5 Women [illegible] | Bean Baxter | Mr Pres | 3-6 Married | Duets | Tracey Ulman, 1
Wagner 10-9 | Oh God, You Devil 11-2, 1
Comedy 2-6 Women in Prison | Beans Baxter | Mr. Pres [illegible] | 2-14 Married | Tracey Ulman | Duet | 2-20 Women In Prison | Beans Baxter | Mr. President | 2-21 Married | Tracey Ulman | Duets, 1
1-31 NOVA J[sic] Food | Television [illegible] | Upstairs Downstairs 2 of 2 | Ch 44 | Television Pt I 2-7, 1
Upstairs Downstairs - 11-15 | Ch 2 11-27 :60 | Ch 44 11-29 | Ch 2 12-13 | Ch 2 12-20, 1
Upstairs Downstairs - Ch 2 1-3 (Sp) | 30m Ch 44 | 30 m Ch 44 1-10 | Ch 2 1-17 | Ch 44 1-17, 1
Upstairs Downstairs - Ch 2 3-5 | Ch 2 3-13 | Ch 44 3-13 | Ch 2 3-20, 1
Upstairs Downstairs - 2-14 Ch 2 | Nat'l Geographic - Austral. Aborig. | Ch 44 | Etc | 2-28 Ch 2 | Ch 44 | 3-6 Ch 2, 1
Drama - How To Be A People Person 4-9 | Aaron's 5-11 | Highway to Heaven 5-11 | Comedy 5-28 Facts of Life | 227 | Golden Girls | Amen | News 6-17 10PM | NBR, 1
Upstairs Downstairs (Ch2) 11-22 | (Ch-44) 11-22 | (Ch 2) 4-24 | News 6-16 News Ch 7 AM | ABC PM | Chron, 1
Comedy Married | Gary Shandling | Tracey Ulman | Duet, 1
Sunday - Firing Line - Sex Lives of Public Figures, 1
News 10PM News | NItely Business Report | Nightline - Gary Hart, 1
News - Oprah, 1
News 8-3 AM | Oprah | 8-4 The Computer Show | 8-16 Reading Rainbow | 3-2-1 Contact | Reading Rainbow | 3-2-1 Contact 8-19, 1
Sunday Adam Smith AIDS | Say Brother Black Male [sic] Age, 1
News | [illegible], 1
News CBS AM | Local PM | Charlie's Aunt 2HR, 1
Sunday Adam Smith Singapore, 1
News - Oprah | McNeil Lehrer, 1
News 7-2 Ch 4 AM | Oprah Positive [illegible] About Self | WWW of Animals - Butterfly 7-10 | Mic[sic] Car[sic] 7-12 60m, 1
News 10PM 9-21 | 9-22 Nite Busn Rpt, 1
News #1 McNeil Lehrer, 1
News '87 Boston Marathon Pt 1 1hr Pt 2 VHS, 1
Sunday - Kuralt | 5 On 5 | Brinkley | Meet The Press - J.Jackson on G. Hart | Adam Smith [illegible], 1
News 3-16 | West 57th 4-6, 1
News #1 Oprah [illegible], 1
NBC PM News | Chronicle | Nite Line [illegible] | Benny Hill | Benny Hill, 1
News 4-14 #2 / 4-15 Chronicle | 10PM News | Nitely Bsns Rpt | Donahue 4-16 | 4-16 McNeil Lehrer Pt II (Special), 1
Today's Business, 1
News Oprah Al Poussau, 1
News 4-6 | Chronicle 4-7, 1
News Ch 4 AM | Oprah | Donahue, 1
News NBC Ch 4 PM | Evening Mag, 1
News NBC AM 1 1/2 HR | Oprah 1HR, 1
Sunday Firing Line | Say Brother R[sic] H[sic], 1
News 4-15 #1 4-15 #2 Donahue Spring Break, 1
News 8-13 #2 10PM News | Nitely Business Report | McNeil Lehrer 8-14 | MacNeil Lehrer 8-18, 1
News Oprah | MacNeil Lehrer Titanic, 1
News NBC AM Oprah Moters of Socialites[?] | Iran - Contras Hearings Macfarland Start Pt I 1 1/2 HR, 1
Sunday 5-31 | Niteline Jane Fonda Sports, 1
Sunday Great Perf 1/2 hr Beethoven, 1
News MacNeil Lehrer - Cleaning Sistine, 1
News 4-1 | AIDS Donahue 4-3, 1
News 4-8 #2 10PM NBR | Chronicle Bus Today Pub Library | Donahue - Fatigue 4-10, 1
News 6-29 // 6-30 McNeil Lehrer Japan/US Real E[sic] | MacN-Lehrer | Chronicle - Saving Baby Whales, 1
News 7-1 #2 MacNeil Lehrer Bork | 7-3 MacNeil Lehrer, 1
News Donahue | Reading Rainbow, 1
News 6-17 | Chronicle Goetz [illegible] 6-16, 1
News Oprah P[sic] Carr[sic] | MacNeil Lehrer, 1
News Donahue Dr. Ruth, 1
Sunday Sunday Chas | Morning Kuralt | 5 On 5 | This Week - David Brinkley | City Streets | Science Gazette - A[sic], 1
Sunday Art In The Air | Adam SMith | Firing Line Korea 10m, 1
News [illegible] Business 1/2 | Today 2 | Oprah - Psychic Regression, 1
News 7-31 Ch 4 NBC PM | Evening Mag | 10PM News | Nite Bus Rpt | 8-3 Oprah | [illegible] | 8-4 [9?] NBC [illegible], 1
News 8-10 McNeil LEhrer | PM 8-13, 1
News Oprah | McNeil Lehrer | Niteline, 1
Sunday Kerault | Face The Nation [illegible] | 60 Minutes, 1
News 3-29-88 ABC PM | 10PM | N 8P | 11PM CBS | Swe[sic] | 4-10-88 Meet The Pan Night Pt. II, 1
3-18-88 10PM NR | NBR | 3-19-88 WSJ Rpt | Bottom Line | Adam S[sic] | McL Group | Tony Br[sic] | 2/30 11PM [illegible] | 3-22-88, 1
3-21-88 ? | ABC PM News | Chronicle | 10pm News | NBR | 3-22-88 CBS AM News | ABC PM | Chron. | 10PM | NBR, 1
Docu / News Jackson / M[sic] ; [illegible] 3-26-88 | McL Group | [illegible] 3-27-88 News PM | [illegible] | CBS AM News 3-28-88, 1
Oprah 3-30-88 | Phil 3-31-88 | Oprah Poor 3-31-88, 1
Phil 1-12-88 | Oprah 1-17-88 | Phil Age Dir. In Mar[sic] 8-28 | Oprah Twin 3-28 | Phil 3-29 | After School Special 3-30-88, 1
News ; 4-8-88 CH 5PM News | ABC PM News | Chronicle | Wash Wk | Wall St Wk | 10PM News | NBR | 11PM News | Niteline | 4-9-88 About S[sic] | Will Grace, 1
Phil 3-21-88 | Oprah 3-21-88 | Phil Psychics 3-22-88 | Phil Men 16 Marriage[?] 3-23-88 | Phil Cholesterol 3-24-88 | Oprah Family M[sic] 3-24-88, 1
Docu 11-16-8x Constitution Faveism Paris Control [?] | Black Forum 11-16 | News 3/23/8x 10PM News | NBR | Nite Line | 3/24 CBS AM News | ABC PM | Chronicle | 5/25 CBS AM News, 1
Heimat 10-17-87 | 3-25-88 ABC PM News | Chronicle [illegible] | Wash Wk | Wall St Wk | 11PM News | Nite Line [illegible], 1
Phil Betty Dole 4-1-88 | Oprah Jokes 4-1-88 | C[sic] D[sic] CH 44 4-3-88, 1
News 3-30-88 CH 5 6PM | CBS 6:30 | Ch 5 11PM | Nite Line | CH 2 [illegible] | News 3-13-88 CBS AM | ABC AM | [illegible], 1
Docu ; 2-3-88 Making Time | Ethan's Nation | Tan Bl[sic] 2-7 | Face Nation 2-xx | Meet The Press | [illegible] 2=xx | Niteline D[sic] [illegible], 1
News Monitor ; US/USSR Summit 9am-2:45 PM, 1
French In Action, 1
2-9-88 NBR | 2-10-88 McNeil Lehrer | 10PM News | NBR | 7-12-8 Wash Wk | Wall St Wk B[sic] | 10PM News | NBR | 2-13 WSJ Report, 1
Docu ; Phil 11-17-87 | 11-19-87 Oprah | Ch 5 6PM News | ABC News | Chronicle, 1
Phil 11-5-87 Phil | Oprah | Ch 5 6PM News | ABC News | Real estate Chronicle | Phil CIA Thing 11-9-87 | Oprah 11-9-87, 1
Secret Government - Moyers, 1
Phil (2-4 B[sic]) 2-5-88 | Oprah 2+ Bern) 2-5-88 | Donahue Color Prejudice 2-11-88 | Donahue Liz Taylor 2-12-88 | Oprah HrsB[sic] 2-12-88 | Cl[sic] 6PM [sic] 2-12-88, 1
Phil Diamonds 2-18-88 | Oprah Keeping your spouse fat [?] 2-18 | Phil 2-19 | Oprah 2-19 | Ch 5 PM News 2-19 | ABC PM News 2-19 | Chronicle 2-19, 1
11-26 Phil Inside[sic] | Oprah Sex Addiction | 11-17 Phil Pr[sic] Fat[sic] | Oprah | Phil ? | Oprah ?, 1
Docu ; After [illegible] 3-16-88 | Donahue 3-16 | CH5 PM News 3-16 | PI - PI 3-17 | Oprah 3-17 | Phil [illegible] 3-18, 1
2-20-88 Adam Smith | McL Group | Tony Brown | Greece Special | 2-24-88 10PM News | NBR | 2-25-88 10PM News | NBR | 2-26-88 Wash Wk | Wall St Wk, 1
Phil | Oprah | Phil Gorbechev [illegible] | Oprah, 1
1-12-88 Phil | Oprah | 1-13-88 Phil | Oprah | CH5 News | ABC | Chronicle, 1
11-17-87 Phil | Oprah 11-18-87 Phil | Oprah, 1
Docu ; Democratic PPres. Cand. Debate | Wash Wk | Wall St. Wk | 10PM News | Nite [sic], 1
Docu ; Return To The Titanic, 1
Phil | Oprah 1-26 | 1-27 Phil | Oprah | Ch 5 PM News | ABC News | [illegible], 1
Thu 9-24-87 10PM News Ch 2 | Nightly Business Report | 11pm Ch 5 News | Fri 9-25-87 Wash Week | Wall St Week | Sat 9-26 Adam Se[sic] | McL Group | Tony Brown | Sun 9-27 Meet The Press | Tue 9-28 ABC PM News | Chronicle, 1
3-11-88 Wash Week | Wall St Week | 10PM News | NBR | [illegible] Tenn. Williams | 3-12-88 [illegible] | [illegible] | [illegible[ | McL Group | 3-13 [illegible] | Brinkley Pt A ?, 1
National Geographic Soviet Circus | 48 HRS | CB/On McL, 1
Docu ; 11-27-87 10-10 | Year In The Life 12-3-87 | 12-4 ABC PM News | Chronicle | Wash Wk | Wall St Wk | 10PM News | NBR | Adam Smith | 12-5- Tony Brown, 1
